tbl_poc_cmf_activosbanco1_mes.instituciones,tbl_poc_cmf_activosbanco1_mes.producto,tbl_poc_cmf_activosbanco1_mes.monto,tbl_poc_cmf_activosbanco1_mes.mdm_fhnew,tbl_poc_cmf_activosbanco1_mes.mdm_processnew,tbl_poc_cmf_activosbanco1_mes.mdm_hash,tbl_poc_cmf_activosbanco1_mes.periodo_mes
HSBC Bank (Chile),Instrumentos financieros derivados,219742.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,8cc76de7120c06df622139d27f12f7f6453f0c31fdf4425dc7ce40b8458e18fd,2019-10-01
Ita� Corpbanca,Instrumentos financieros derivados,3091635.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,1ef1e46a66d37988ed1f7aace4815d0e480289a9f261f1797ed63ca28bc7060d,2019-10-01
"JP Morgan Chase Bank, N.A.",Instrumentos financieros derivados,295952.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,d2f0164c847626e785f96314ae345e2583cf95c13db57672748ec874de98b349,2019-10-01
Scotiabank Chile,Instrumentos financieros derivados,4196126.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,b6c89cd075c9a9b9a2dc51987da7ce21db4140b10805607e47101963e86b3f04,2019-10-01
Banco Bice,Contratos de retrocompra y pr�stamos de valores (activos),11531.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,db1d39179a96092a651d0862d66a227d5bc1f5b54f6753e721b5c7e4f6eaea51,2019-10-01
Banco BTG Pactual Chile,Contratos de retrocompra y pr�stamos de valores (activos),52245.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,74a3d9af36d0fb50679129c11f2ed7b472dd06bd673dcc9918a12f0cd2e96e21,2019-10-01
Banco Consorcio,Contratos de retrocompra y pr�stamos de valores (activos),8140.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,ec1a53cd8a401daf7b39cb32019f4029c15933220dfc10d9b471bb44284ad695,2019-10-01
Banco de Chile,Contratos de retrocompra y pr�stamos de valores (activos),77478.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,d6ac3e9ebb489aafc2ddbacb46a5a0d1589800d8703b995d8636d0b5125bf868,2019-10-01
Banco de Cr�dito e Inversiones,Contratos de retrocompra y pr�stamos de valores (activos),143472.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,a9d1099bae552c99905dc9d087c7361df381b2aa2559c697577b5d359a80287b,2019-10-01
Banco del Estado de Chile,Contratos de retrocompra y pr�stamos de valores (activos),99210.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,7b53a9c0ecc911fdce0acae51442b7b60403e62093873eb1af5e868f5158c3af,2019-10-01
Banco do Brasil S.A.,Contratos de retrocompra y pr�stamos de valores (activos),0.0,2020-12-14 18:22:26.326,com_soluciones_poc_cmf_process_activosbanco1_mes,5eb3a5a64b0d0a8245bbb452035134b41259da7c82fa4e17b0596caaa90dc15b,2019-10-01
