tbl_poc_cmf_activosbanco2_mes.instituciones,tbl_poc_cmf_activosbanco2_mes.producto,tbl_poc_cmf_activosbanco2_mes.monto,tbl_poc_cmf_activosbanco2_mes.mdm_fhnew,tbl_poc_cmf_activosbanco2_mes.mdm_processnew,tbl_poc_cmf_activosbanco2_mes.mdm_hash,tbl_poc_cmf_activosbanco2_mes.periodo_mes
Banco BTG Pactual Chile,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Provisiones para cr�ditos con bancos del pa�s,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,710a2b1a9f371eddc2c6e61087bbbb6ade5c179344bfb902fd9f2af2bd4f1214,9/1/2019
Banco Consorcio,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Provisiones para cr�ditos con bancos del pa�s,25,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,03bc8bdefc660abb95258dd650568730a64e8cfbf5acce092a561939e889472b,9/1/2019
Banco de Chile,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Provisiones para cr�ditos con bancos del pa�s,36,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,e17338d4719db798e2fb85ef7e104cab7ee311edb7c77464a251e59e7f94a42a,9/1/2019
Banco de Cr�dito e Inversiones,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Provisiones para cr�ditos con bancos del pa�s,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,3d8850730af9da1918fada51bf477a152ab99beba12ef5a2c38366cd0fea6bca,9/1/2019
Banco del Estado de Chile,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Provisiones para cr�ditos con bancos del pa�s,13,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,353ff230c53c12efe756e0d697547e80d53d3b457c2c670a33f1f64c24803e61,9/1/2019
Banco do Brasil S.A.,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Provisiones para cr�ditos con bancos del pa�s,8,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,26234e1a2f94902355f30ce01c16c0734cf0dd268bdf32b69aa96c09d23fa226,9/1/2019
Banco Falabella,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Provisiones para cr�ditos con bancos del pa�s,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,eca6010879e5d962e7f657fd59d63c6eab97d9ea8ecbecb9a889bf8e3820aaad,9/1/2019
Banco Internacional,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Provisiones para cr�ditos con bancos del pa�s,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,45f90ed7dca672cb2aaf887f04a90b2c34662195ecb932c85b25384e275acbd4,9/1/2019
Banco Ripley,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Provisiones para cr�ditos con bancos del pa�s,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,f1f2df6da1ec9e2d28a0c774506f66a7dd97e0ad415b49e7bf7464d3bdfd153e,9/1/2019
Banco Santander-Chile,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Provisiones para cr�ditos con bancos del pa�s,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,436fc6b18b21f77d6cb333d99e20eda4d98f1ede7decd9becab6dcff075992a8,9/1/2019
Banco Security,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Provisiones para cr�ditos con bancos del pa�s,1,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,21cc730438892bce6cd2fa2375c203799c029c43404eaaeee94cff18858c374c,9/1/2019
"Bank of China, Agencia en Chile",Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Provisiones para cr�ditos con bancos del pa�s,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,7749a73be8950665c9301e81ea1a4caf25883965ee9e12db310f05d60aedb912,9/1/2019
"China Construction Bank, Agencia en Chile",Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Provisiones para cr�ditos con bancos del pa�s,12,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,b13d88e244488530872319cbc719307bacd48f85d0c3c5b894d11e564d43dc66,9/1/2019
HSBC Bank (Chile),Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Provisiones para cr�ditos con bancos del pa�s,6,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,ad244a51bcac7b326d1eb9b2203ddfffa1814007c31d216475c61f0d151ae0ed,9/1/2019
Ita� Corpbanca,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Provisiones para cr�ditos con bancos del pa�s,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,5e0c285fc16dc1b94398d7e0d696dbc0c3d5db5a45c5ab7d1e334c0d7549b94f,9/1/2019
"JP Morgan Chase Bank, N.A.",Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Provisiones para cr�ditos con bancos del pa�s,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,3f4edda334c4f8875017f558d28a1e5a677dcb7c56adeababdfc324c78b52713,9/1/2019
Scotiabank Chile,Activos/Adeudado por bancos (neto de provisiones)/Bancos del pa�s/Provisiones para cr�ditos con bancos del pa�s,0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,cb6ce3445e9b91c2078dc3f3eaf66fc0bca7ec503abe07930d29238eadff7469,9/1/2019
Banco Bice,Activos/Adeudado por bancos (neto de provisiones)/Bancos del exterior/Total (1),0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,5c81c2d07fc6a5e0905086fcff6602211796357bcd83f28118c0c8ec4ef0b8ed,9/1/2019
Banco BTG Pactual Chile,Activos/Adeudado por bancos (neto de provisiones)/Bancos del exterior/Total (1),0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,dc17dc63d16c77556c49293f1e786f0226ec7d229e91daa17a9f2671e03dd2ef,9/1/2019
Banco Consorcio,Activos/Adeudado por bancos (neto de provisiones)/Bancos del exterior/Total (1),0,29:56.3,com_soluciones_poc_cmf_process_activosbanco2_mes,45895e46544dc5583f158084f73b247789a1ac86116988a78643f88122b71cde,9/1/2019
