tbl_poc_cmf_activosbanco1_mes.instituciones,tbl_poc_cmf_activosbanco1_mes.producto,tbl_poc_cmf_activosbanco1_mes.monto,tbl_poc_cmf_activosbanco1_mes.mdm_fhnew,tbl_poc_cmf_activosbanco1_mes.mdm_processnew,tbl_poc_cmf_activosbanco1_mes.mdm_hash,tbl_poc_cmf_activosbanco1_mes.periodo_mes
"JP Morgan Chase Bank, N.A.",Contratos de retrocompra y pr�stamos de valores (activos),0.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,21f33b7299e054a3b2f16a6f14698302bdebc64396d1ac56d5195827cc446088,2019-09-01
Scotiabank Chile,Contratos de retrocompra y pr�stamos de valores (activos),26617.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,0c728558275d9bad642bda22d26f89a9d44bc062b996399ab63fcbc52911dff9,2019-09-01
Banco Bice,Inversiones en sociedades y en sucursales en el exterior,482.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,536223dcf703424c06768fef1c672b63bfcd2470b811321f2f6f6a8601bef986,2019-09-01
Banco BTG Pactual Chile,Inversiones en sociedades y en sucursales en el exterior,135.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,bf1b7f5a9ffa27e56709649a0e75ece758fc1b226f78b6aa204d1220bd21894b,2019-09-01
Banco Consorcio,Inversiones en sociedades y en sucursales en el exterior,2299.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,0f57694a457cb82b05f0637a18a0c6b519fe95c90444aad78ae60588964dbfc2,2019-09-01
Banco de Chile,Inversiones en sociedades y en sucursales en el exterior,49169.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,168bbe46257420dac4a74a7e99c0babcea40e8494d931a651b5600d417039a71,2019-09-01
Banco de Cr�dito e Inversiones,Inversiones en sociedades y en sucursales en el exterior,26900.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,285651ee6705ee4694b371091a44f6e7f4d96cc3aafe0ea7f70b13b16185d1ee,2019-09-01
Banco del Estado de Chile,Inversiones en sociedades y en sucursales en el exterior,17840.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,6a3f903525bc018a313cfffd6cc5d0eac983960e156d444674dcc3bb74991d51,2019-09-01
Banco do Brasil S.A.,Inversiones en sociedades y en sucursales en el exterior,0.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,10c71d50aae5d7e4ef2c9a1097e69facff17e43766a474886e1d1fb3d5af5958,2019-09-01
Banco Falabella,Inversiones en sociedades y en sucursales en el exterior,313.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,492cdd70987153e068cd1d40d42ec10738683f43c0e063e5036b751265451552,2019-09-01
Banco Internacional,Inversiones en sociedades y en sucursales en el exterior,407.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,7946d8eff15e7ec43845dfb571c1b44e7871703de07be6359953bb60741d1f59,2019-09-01
Banco Ripley,Inversiones en sociedades y en sucursales en el exterior,12.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,8de39f3d111cbba03b029909a957f618169eb7242c212816536f722894663999,2019-09-01
Banco Santander-Chile,Inversiones en sociedades y en sucursales en el exterior,10191.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,c0a47ff451a2cc98809325cac4d88d8d05a9808d80480ac48ba9ba3a8e3d8c64,2019-09-01
Banco Security,Inversiones en sociedades y en sucursales en el exterior,2095.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,d12e597cbb88f9bf79a65c0e80eb459134dff80785e579f257a4485ba2b9a488,2019-09-01
"Bank of China, Agencia en Chile",Inversiones en sociedades y en sucursales en el exterior,0.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,057bd3e3fed7ffbc72fead0b9144d39194179d20c2b724685d11adb379bbbed4,2019-09-01
"China Construction Bank, Agencia en Chile",Inversiones en sociedades y en sucursales en el exterior,0.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,28a832a12ee0577f777bf785dcac6f8f71b876617a5fb68668835a4a0f1c5f6f,2019-09-01
HSBC Bank (Chile),Inversiones en sociedades y en sucursales en el exterior,273.0,2020-12-14 18:49:27.371,com_soluciones_poc_cmf_process_activosbanco1_mes,d636f3f585fbd9bd167d7b3375ebc8fedd851acb2f1dbf7ffd475b64bc3b5121,2019-09-01
